Size,Bubble Sort,Selection Sort,Insertion Sort
100,0.0,0.0,0.0
1000,1.0,5.0,0.3333333333333333
10000,346.0,167.66666666666666,118.66666666666667
30000,3674.3333333333335,1384.3333333333333,738.0
